"reference","start","end","identity"
"ref4","6798","6884","89"
"ref2","6559","6654","96"
"ref4","7236","7294","80"
"ref4","7109","7424","91"
"ref4","6894","7399","98"
"ref5","2653","2942","91"
"ref2","8189","8318","92"
"ref4","2919","2957","96"
"ref2","9012","9165","84"
"ref4","7498","7652","91"
"ref2","1542","1628","98"
"ref5","5949","5987","98"
"ref5","8200","8399","90"
"ref2","3259","3703","98"
"ref5","8630","8766","96"
"ref3","1275","1300","81"
"ref3","8919","9046","91"
"ref2","9856","9906","97"
"ref2","4832","4893","100"
"ref4","557","1119","95"
"ref4","7744","7914","97"
"ref3","7658","7743","100"
"ref2","87","187","94"
"ref1","9249","9342","94"
"ref1","9525","9591","84"
"ref4","4525","4646","94"
"ref3","5895","6038","96"
"ref1","4511","4628","81"
"ref5","592","828","91"
"ref1","999","1253","94"
"ref2","9119","9207","99"
"ref2","3671","3788","96"
"ref1","7657","7824","87"
"ref1","4740","4802","83"
"ref2","1237","1254","100"
"ref5","3726","3785","93"
"ref3","2759","2822","80"
"ref5","5208","5484","100"
"ref1","888","1177","89"
"ref5","1736","1825","97"
"ref5","4733","4773","80"
"ref2","6200","6214","88"
"ref5","362","399","95"
"ref5","2470","2697","88"
"ref2","4043","4154","80"
"ref4","866","928","95"
"ref5","4512","4540","94"
"ref4","9225","9408","86"
"ref5","9076","9158","92"
"ref1","8808","8901","88"
"ref5","3875","3907","90"
"ref3","6948","7106","85"
"ref2","7577","7987","83"
"ref3","223","259","100"
"ref2","2855","2875","85"
"ref1","5947","6016","84"
"ref2","512","569","89"
"ref5","1186","1236","89"
"ref2","4524","4585","92"
"ref3","3016","3431","90"
"ref2","3386","3422","82"
"ref3","2306","2528","86"
"ref4","5793","6156","87"
"ref3","9925","9960","86"
"ref3","2603","2893","90"
"ref4","243","558","97"
"ref2","5528","5621","83"
"ref5","353","873","96"
"ref5","2779","2810","100"
"ref1","7518","7552","89"
"ref4","1720","1864","97"
"ref3","7795","7953","84"
"ref3","97","143","97"
"ref3","5020","5288","83"
"ref2","1511","1647","100"
"ref3","7566","7577","91"
"ref5","5714","5880","80"
"ref3","5049","5132","87"
"ref4","850","987","83"
"ref4","9815","9858","97"
"ref2","1313","1326","90"
"ref5","5125","5323","97"
"ref2","1492","1626","98"
"ref2","8836","8932","100"
"ref2","6745","6804","85"
"ref4","7052","7331","88"
"ref3","5565","5637","80"
"ref4","6370","6464","84"
"ref5","2239","2276","80"
"ref4","5450","5743","96"
"ref3","2818","2842","95"
"ref2","7978","8064","98"
"ref1","8773","8846","80"
"ref1","4184","4434","92"
"ref3","2340","2354","86"
"ref2","7169","7346","92"
"ref1","2595","2616","96"
"ref1","282","400","84"
"ref2","6098","6159","90"
"ref4","7783","7806","92"
"ref5","7832","7904","88"
"ref2","2510","2535","100"
"ref5","2761","3065","99"
"ref4","5573","5738","94"
"ref5","9308","9420","83"
"ref5","7517","7618","80"
"ref3","5193","5243","93"
"ref1","3684","3911","85"
"ref4","6810","6871","94"
"ref1","2302","2867","99"
"ref2","6141","6269","80"
"ref2","8422","8440","99"
"ref4","818","852","84"
"ref5","7726","8024","88"
"ref5","285","482","93"
"ref3","9209","9271","94"
"ref4","4786","5018","95"
"ref1","5419","5582","97"
"ref5","5641","6182","89"
"ref4","2507","2631","92"
"ref5","1723","1945","80"
"ref5","2209","2254","87"
"ref3","848","986","81"
"ref4","1429","1456","92"
"ref1","4523","4541","86"
"ref1","8907","8974","84"
"ref5","4007","4360","90"
"ref2","6894","6982","88"
"ref4","5518","5754","96"
"ref4","5740","5920","80"
"ref3","206","231","96"
"ref5","6049","6170","83"
"ref1","378","837","85"
"ref2","8300","8877","100"
"ref5","1561","1743","90"
"ref2","9156","9180","89"
"ref4","6057","6144","83"
"ref4","1979","2038","97"
"ref5","4620","4963","94"
"ref5","997","1186","81"
"ref3","1193","1316","95"
"ref4","7002","7135","81"
"ref1","6293","6330","96"
"ref1","3372","3390","86"
"ref5","2729","2887","90"
"ref5","1227","1280","90"
"ref3","3457","3655","80"
"ref4","8348","8384","83"
"ref1","9688","9701","81"
"ref5","6752","6801","85"
"ref2","5888","6227","92"
"ref4","8172","8375","89"
"ref3","310","406","87"
"ref1","1152","1203","81"
"ref1","1791","1799","93"
"ref1","7000","7022","93"
"ref4","9553","9653","90"
"ref5","1472","1595","97"
"ref4","4669","4741","91"
"ref4","7329","7414","93"
"ref3","6128","6242","92"
"ref5","7285","7603","82"
"ref1","1385","1427","86"
"ref4","9008","9799","95"
"ref2","1396","1502","81"
"ref1","5907","6233","88"
"ref4","9401","9512","90"
"ref4","3768","3814","100"
"ref4","7299","7324","86"
"ref4","2579","2647","94"
"ref5","4729","5481","87"
"ref5","497","1496","88"
"ref4","4141","4805","88"
"ref1","7190","7228","90"
"ref2","1359","1465","94"
"ref4","5211","5266","100"
"ref3","4739","4914","83"
"ref5","6308","6369","87"
"ref5","7646","7694","86"
"ref3","750","931","84"
"ref5","3746","3795","81"
"ref1","3468","3515","81"
"ref5","9249","9290","87"
"ref2","9046","9231","93"
"ref2","2224","2305","86"
"ref1","9704","9729","94"
"ref5","1185","1572","97"
"ref4","5926","5979","82"
"ref4","6145","6183","86"
"ref3","7660","7701","91"
"ref5","4907","4978","80"
"ref5","8512","8978","99"
"ref3","4613","5279","99"
"ref4","6131","6186","92"
"ref2","1496","1512","82"
"ref5","7122","7401","98"
"ref3","6498","6853","85"
"ref4","1506","1574","93"
"ref1","1221","1266","81"
"ref1","193","308","96"
"ref1","6500","6614","84"
"ref2","9495","9629","99"
"ref2","5697","5842","98"
"ref2","5276","5396","84"
"ref5","8815","8888","84"
"ref3","533","672","87"
"ref5","1588","1637","93"
"ref5","5725","5761","94"
"ref2","2437","2491","94"
"ref1","6495","6515","87"
"ref5","2791","2827","85"
"ref3","7839","7859","88"
"ref4","8019","8136","80"
"ref4","8011","8698","81"
"ref4","6388","6429","80"
"ref1","8402","8538","93"
"ref3","7836","7914","83"
"ref5","1931","1969","91"
"ref2","708","908","96"
"ref3","9880","9901","90"
"ref3","9844","9902","99"
"ref2","446","461","91"
"ref5","3597","3679","89"
"ref2","8889","9089","93"
"ref2","2245","2382","100"
"ref4","4099","4202","86"
"ref2","3828","3879","92"
"ref3","9858","9938","80"
"ref4","3330","3524","82"
"ref1","989","1038","90"
"ref2","3289","3540","84"
"ref3","4239","4286","98"
"ref5","6968","7083","85"
"ref5","1315","1547","100"
"ref1","209","394","80"
"ref2","5504","5582","94"
"ref2","7733","7779","95"
"ref2","4464","4747","82"
"ref3","396","747","95"
"ref2","9691","9711","94"
"ref5","5305","5459","96"
"ref4","4853","4909","84"
"ref2","4140","4185","90"
"ref3","8991","9055","90"
"ref5","9194","9285","88"
"ref5","8149","8268","98"
"ref1","114","122","96"
"ref5","7070","7523","89"
"ref3","1302","1339","96"
"ref2","1849","1958","89"
"ref3","7603","7785","89"
"ref3","6158","6301","96"
"ref5","593","635","80"
"ref3","5238","5699","91"
"ref4","3029","3067","100"
"ref5","1975","2150","81"
"ref4","8780","8848","89"
"ref2","195","358","97"
"ref1","225","369","83"
"ref2","6458","6484","82"
"ref5","5234","5259","97"
"ref3","9508","9651","100"
"ref2","6439","6727","80"
"ref3","6939","7661","80"
"ref4","6260","6424","92"
"ref5","8906","9064","95"
"ref4","4815","4964","86"
"ref3","2858","2861","82"
"ref2","970","989","98"
"ref3","3132","3261","88"
"ref3","6911","6940","91"
"ref3","4822","4881","87"
"ref1","4897","5383","96"
"ref1","3160","3187","95"
"ref5","1605","1639","82"
"ref4","8033","8098","98"
"ref5","5767","5911","86"
"ref4","8685","8789","89"
"ref3","2090","2177","92"
"ref3","5128","5448","100"
"ref5","394","457","81"
"ref4","2683","2959","94"
"ref5","1852","2009","80"
"ref2","8937","8974","94"
"ref2","9081","9511","81"
"ref2","3669","3879","86"
"ref3","9109","9249","91"
"ref4","8578","8641","85"
"ref2","6211","6261","85"
"ref5","6219","6439","90"
"ref4","7114","7239","83"
"ref4","5802","6533","94"
"ref3","7414","7447","89"
"ref5","7843","7882","83"
"ref1","3825","3995","95"
"ref2","5062","5194","82"
"ref5","484","539","93"
"ref4","3608","3682","100"
"ref3","9299","9611","92"
"ref1","307","406","82"
"ref3","1613","1682","80"
"ref2","6950","6981","95"
"ref5","1329","1524","81"
"ref3","4287","4550","84"
"ref5","5465","5495","89"
"ref3","111","200","92"
"ref3","6491","6519","93"
"ref5","5798","5817","96"
"ref4","5","192","91"
"ref4","2794","2925","93"
"ref3","4196","4279","80"
"ref3","3141","3177","99"
"ref4","960","1538","98"
"ref4","8964","9135","94"
"ref1","1403","1563","88"
"ref1","6731","7002","86"
"ref5","3251","3719","100"
"ref5","5014","5056","98"
"ref3","2203","2824","91"
"ref2","209","1073","93"
"ref2","4278","4543","97"
"ref3","2533","2601","100"
"ref4","3313","3405","96"
"ref3","2637","3091","99"
"ref5","4955","5026","95"
"ref4","1922","1976","100"
"ref3","3150","4046","97"
"ref2","8070","8103","82"
"ref1","2959","3047","87"
"ref1","2191","2724","97"
"ref1","1387","1951","95"
"ref1","8113","8133","96"
"ref3","8392","8473","87"
"ref1","2124","2208","98"
"ref4","1470","1522","96"
"ref4","3866","4046","91"
"ref3","1796","2110","96"
"ref3","7978","8024","86"
"ref2","5327","5439","85"
"ref3","3211","3616","82"
"ref1","2628","2740","85"
"ref5","9184","9487","96"
"ref5","2937","3390","95"
"ref4","8843","9019","89"
"ref2","6485","6626","83"
"ref5","1348","1373","89"
"ref1","3046","3315","87"
"ref3","6689","6702","100"
"ref1","9551","9620","95"
"ref5","3639","3798","93"
"ref3","6877","6995","98"
"ref2","1232","1254","99"
"ref1","886","1017","83"
"ref4","5746","6052","93"
"ref2","2603","2646","99"
"ref5","5637","5826","84"
"ref4","7193","7247","93"
"ref3","3625","3844","87"
"ref2","639","720","92"
"ref5","6175","6295","92"
"ref5","8971","8995","83"
"ref3","2004","2141","97"
"ref5","2807","3148","92"
"ref4","4907","5280","98"
"ref2","4023","4122","88"
"ref3","7273","7462","91"
"ref3","410","448","91"
"ref2","4061","4107","83"
"ref1","4513","4663","87"
"ref2","8709","8769","87"
"ref5","4137","4180","99"
"ref3","4086","4173","98"
"ref5","1732","1780","96"
"ref4","149","198","98"
"ref2","7941","8191","97"
"ref4","260","338","93"
"ref3","7244","7709","85"
"ref1","3802","3872","100"
"ref2","2528","2762","96"
"ref1","1940","1991","84"
"ref3","3478","3525","84"
"ref5","5188","5349","92"
"ref2","4437","5014","99"
"ref5","893","917","99"
"ref5","4738","5045","98"
"ref4","6814","6990","91"
"ref3","4261","4331","93"
"ref3","1690","1698","97"
"ref1","2962","3119","84"
"ref2","5497","5517","84"
"ref2","6923","6928","83"
"ref3","489","982","91"
"ref5","9791","9844","85"
"ref3","6156","6281","98"
"ref1","8271","8332","83"
"ref4","4521","4527","92"
"ref4","616","833","80"
"ref4","1202","1361","83"
"ref5","5950","6123","98"
"ref2","4658","4886","85"
"ref1","7038","7553","97"
"ref5","4644","4824","80"
"ref2","9313","9390","98"
"ref5","5588","5607","92"
"ref5","5589","5656","93"
"ref4","2928","3010","88"
"ref1","2919","3080","93"
"ref4","9058","9120","85"
"ref2","4034","4075","90"
"ref4","2047","2072","96"
"ref1","4459","4716","100"
"ref3","1150","1203","86"
"ref4","7217","7253","94"
"ref1","6275","7015","95"
"ref3","4351","4375","97"
"ref2","4796","5005","95"
"ref1","2122","2234","92"
"ref2","8432","8527","98"
"ref2","6435","6473","86"
"ref1","7125","7211","82"
"ref1","3816","3868","90"
"ref2","8068","8372","89"
"ref1","6811","6838","93"
"ref3","3969","4052","96"
"ref4","4327","4332","95"
"ref1","5279","5400","86"
"ref5","7731","7834","91"
"ref3","8215","8249","87"
"ref2","7062","7085","90"
"ref2","1002","1313","90"
"ref2","3894","3925","90"
"ref3","315","352","82"
"ref5","7127","7178","86"
"ref3","4717","4785","99"
"ref3","8569","9014","100"
"ref5","2254","2328","100"
"ref2","5278","5457","86"
"ref5","3583","3667","81"
"ref2","4727","4793","92"
"ref2","6079","6165","96"
"ref1","7950","7993","95"
"ref2","5350","5693","96"
"ref4","6495","6503","99"
"ref4","2055","2109","81"
"ref5","3037","3246","84"
"ref5","679","773","99"
"ref1","8711","8719","93"
"ref1","895","1094","87"
"ref1","1346","1404","81"
"ref5","7103","7519","89"
"ref2","8980","9137","81"
"ref5","5372","5570","93"
"ref2","34","168","84"
"ref4","7218","7266","81"
"ref2","4472","4543","98"
"ref5","8972","9079","88"
"ref1","1099","1310","92"
"ref4","2767","2837","86"
"ref5","4857","4881","97"
"ref1","9558","9716","88"
"ref3","7882","8170","92"
"ref3","7345","7621","81"
"ref2","9291","9445","98"
"ref4","8638","8688","89"
"ref2","1271","1526","100"
"ref5","8752","9005","83"
"ref4","9129","9267","93"
"ref2","586","868","93"
"ref4","719","800","88"
"ref2","2172","2250","82"
"ref5","4886","4942","88"
"ref3","7102","7216","98"
"ref2","1170","1236","100"
"ref5","4946","5003","89"
"ref5","6381","6530","95"
"ref1","5661","5685","96"
"ref1","713","840","81"
"ref4","9059","9091","87"
"ref1","1861","1874","93"
"ref1","960","975","80"
"ref1","6175","6198","87"
"ref3","6900","7214","96"
"ref4","7550","7627","97"
"ref2","8154","8230","89"
"ref2","5075","5089","84"
"ref4","2577","2628","100"
"ref3","9243","9311","98"
"ref5","573","1035","92"
"ref1","4885","4917","99"
"ref3","2122","2188","92"
"ref5","8128","8359","86"
"ref1","6552","6584","87"
"ref5","8897","8922","91"
"ref2","8539","8785","92"
"ref1","6241","6420","86"
"ref5","9085","9175","87"
"ref1","4704","5086","83"
"ref3","5754","5823","83"
"ref1","8727","8775","90"
"ref1","6833","6933","95"
"ref5","3501","3578","82"
"ref4","4152","4405","94"
"ref1","8919","8946","86"
"ref1","1314","1359","88"
"ref1","2022","2059","98"
"ref2","5605","5676","81"
"ref5","3209","3442","90"
"ref5","7698","7727","85"
"ref3","2187","2264","91"
"ref4","3762","3779","88"
"ref5","3744","3874","81"
"ref2","416","503","85"
"ref2","5037","5076","80"
"ref2","247","354","90"
"ref1","8269","8414","91"
"ref2","1945","2127","94"
"ref2","3414","3655","95"
"ref3","5806","5909","96"
"ref2","291","401","94"
"ref5","2888","2899","89"
"ref3","1553","1640","94"
"ref3","127","324","91"
"ref3","5632","5721","88"
"ref3","1091","1544","83"
"ref5","3823","3906","99"
"ref4","9750","9817","96"
"ref3","9470","9543","100"
"ref2","4155","4279","80"
"ref4","4038","4200","91"
"ref3","4083","4220","84"
"ref3","6579","6603","84"
"ref1","4333","4452","92"
"ref1","3656","3671","100"
"ref2","9618","9696","84"
"ref3","2493","2543","99"
"ref4","1050","1259","80"
"ref2","331","385","96"
"ref4","7837","7881","85"
"ref5","3748","3813","96"
"ref5","4042","4124","80"
"ref1","1989","2084","81"
"ref2","7955","7977","87"
"ref2","8558","8661","86"
"ref1","4771","4807","97"
"ref1","5354","5380","81"
"ref1","5561","5673","94"
"ref4","2093","2159","85"
"ref3","6542","6710","88"
"ref3","5621","5663","100"
"ref4","2849","2973","96"
"ref1","1528","1643","88"
"ref2","4526","4553","93"
"ref3","6886","6921","82"
"ref1","2569","2585","93"
"ref4","3481","3947","88"
"ref5","3131","3226","100"
"ref5","8697","8720","83"
"ref5","6191","6238","89"
"ref4","7799","7947","97"
"ref2","4378","4386","88"
"ref1","6191","6331","83"
"ref3","521","719","80"
"ref3","9787","9800","98"
"ref4","2777","2903","80"
"ref4","2048","2109","87"
"ref1","1731","1951","91"
"ref1","7939","8536","96"
"ref5","3498","3532","88"
"ref1","377","406","86"
"ref4","7909","8537","86"
"ref5","2702","2790","82"
"ref5","3152","3218","85"
"ref1","8398","8588","83"
"ref3","1798","1815","95"
"ref2","4232","4386","83"
"ref4","701","821","99"
"ref5","5549","5888","100"
"ref4","3911","4910","98"
"ref2","5227","5308","96"
"ref4","7710","7754","99"
"ref1","2380","3379","93"
"ref4","981","1116","83"
"ref2","7541","7590","89"
"ref3","5044","5088","82"
"ref5","42","85","91"
"ref1","6109","6260","95"
"ref3","7042","7209","98"
"ref1","1032","1124","100"
"ref1","4258","4372","81"
"ref2","9413","9483","88"
"ref2","7390","7583","82"
"ref4","85","111","93"
"ref2","4593","4920","85"
"ref3","7027","7254","85"
"ref4","4561","4622","82"
"ref5","2057","2154","89"
"ref3","5823","5942","85"
"ref2","4430","4637","94"
"ref4","6415","6466","80"
"ref2","40","296","90"
"ref1","2404","2416","84"
"ref4","571","697","96"
"ref4","163","268","88"
"ref2","8754","8780","80"
"ref5","7273","7314","85"
"ref4","3189","3644","96"
"ref2","2680","2798","98"
"ref2","9423","9458","99"
"ref5","5643","5747","99"
"ref5","4593","4868","99"
"ref2","9465","9820","91"
"ref5","3112","3393","82"
"ref4","2098","2352","99"
"ref1","5838","6175","100"
"ref3","9570","9623","92"
"ref2","3657","3827","87"
"ref5","885","1040","89"
"ref1","8605","8663","87"
"ref5","3142","3335","88"
"ref5","2588","2661","86"
"ref2","2630","2823","96"
"ref4","6221","6522","99"
"ref2","7423","7488","91"
"ref3","1317","1421","84"
"ref1","2481","2567","96"
"ref2","315","454","100"
"ref5","6429","6546","80"
"ref1","2123","2149","82"
"ref3","3520","3603","82"
"ref1","1173","2172","83"
"ref4","6794","6839","99"
"ref2","8735","8763","98"
"ref4","3980","4074","81"
"ref5","521","543","98"
"ref4","6477","6529","99"
"ref3","7574","7663","95"
"ref3","2512","2592","99"
"ref4","2865","3010","84"
"ref5","6337","6348","99"
"ref4","289","663","99"
"ref3","7690","7747","81"
"ref4","6131","6369","92"
"ref1","840","858","97"
"ref1","8486","8885","88"
"ref5","9509","9538","100"
"ref4","7577","7712","82"
"ref2","1736","1862","89"
"ref1","4066","4334","89"
"ref3","257","305","93"
"ref3","6540","6638","97"
"ref5","3125","3233","88"
"ref4","6327","6371","81"
"ref3","607","636","90"
"ref2","4189","4219","85"
"ref2","4288","4575","99"
"ref4","7621","7716","88"
"ref3","1221","1319","83"
"ref3","1232","1247","98"
"ref5","8904","9086","97"
"ref5","8134","8139","81"
"ref2","8510","8606","89"
"ref4","4830","5047","82"
"ref1","5564","5614","93"
"ref3","7580","7947","81"
"ref2","7594","7672","97"
"ref4","1719","1975","100"
"ref3","2878","2946","86"
"ref4","4405","4531","86"
"ref5","5132","5214","84"
"ref4","9541","9700","99"
"ref3","3454","3620","88"
"ref1","7010","7230","87"
"ref5","5726","6112","94"
"ref5","4698","4856","96"
"ref3","558","663","87"
"ref3","4890","4997","98"
"ref2","4925","4942","99"
"ref5","3524","3617","95"
"ref2","5009","5028","88"
"ref2","1980","2050","88"
"ref3","5359","5598","90"
"ref1","3315","3339","94"
"ref3","1027","1211","94"
"ref5","4261","4443","90"
"ref3","6447","7192","81"
"ref5","8235","8305","98"
"ref4","7607","7629","83"
"ref5","5839","6208","82"
"ref4","1681","1735","93"
"ref2","8039","8086","89"
"ref4","9407","9624","84"
"ref4","75","338","84"
"ref5","8445","8514","92"
"ref1","1651","1687","98"
"ref5","4822","4877","86"
"ref5","8371","8396","93"
"ref4","1890","1961","93"
"ref3","3503","3679","92"
"ref5","4153","4326","100"
"ref3","5749","5798","98"
"ref5","6911","7176","97"
"ref3","2641","2695","80"
"ref5","8785","9312","89"
"ref1","8816","8936","89"
"ref2","3692","3726","82"
"ref3","1665","1764","87"
"ref3","704","889","84"
"ref1","2458","2828","89"
"ref1","718","985","90"
"ref4","6427","6462","89"
"ref4","8286","8499","87"
"ref3","6510","6643","87"
"ref3","2850","3019","90"
"ref4","4109","4296","82"
"ref2","3281","3510","90"
"ref1","2801","3020","93"
"ref5","702","827","85"
"ref4","588","635","81"
"ref5","778","930","82"
"ref2","3261","3308","90"
"ref4","6677","6688","84"
"ref4","6087","6145","96"
"ref3","2793","3117","82"
"ref2","450","568","87"
"ref5","1126","1149","88"
"ref4","3010","3045","94"
"ref4","2380","2486","92"
"ref3","6702","6797","94"
"ref3","4930","4958","93"
"ref5","3878","3916","91"
"ref3","420","513","89"
"ref2","2820","2926","84"
"ref3","4829","5730","97"
"ref4","3884","4009","94"
"ref3","4996","5076","90"
"ref3","7253","7330","80"
"ref4","69","155","86"
"ref3","3128","3233","100"
"ref3","3633","3658","91"
"ref3","4185","4341","97"
"ref3","3548","3817","84"
"ref5","8260","8341","95"
"ref2","6978","7128","80"
"ref4","6383","6403","94"
"ref5","9517","9731","98"
"ref5","2263","2349","86"
"ref4","6855","6874","90"
"ref4","9338","9406","84"
"ref4","7616","7645","94"
"ref2","4000","4028","90"
"ref3","7820","7848","94"
"ref5","1002","1271","93"
"ref4","1788","1869","82"
"ref1","9365","9849","88"
"ref4","9390","9679","91"
"ref3","7156","7243","91"
"ref2","7870","7948","98"
"ref4","8739","8793","85"
"ref1","9337","9397","94"
"ref1","6924","6996","82"
"ref4","298","312","99"
"ref2","7747","7860","89"
"ref3","5683","5711","93"
"ref2","8349","8748","92"
"ref4","2758","2761","97"
"ref1","231","241","99"
"ref5","5682","5762","82"
"ref5","1216","1505","99"
"ref2","4555","4714","92"
"ref2","6237","6854","94"
"ref5","7403","7538","82"
"ref2","4311","4616","82"
"ref1","5301","5353","94"
"ref5","8530","8651","81"
"ref1","5078","5124","100"
"ref5","3171","3228","96"
"ref2","2609","2799","96"
"ref5","4936","5329","84"
"ref4","2589","2743","82"
"ref4","8064","8196","98"
"ref4","5788","5894","99"
"ref1","6828","6919","98"
"ref1","137","206","85"
"ref2","7525","8206","90"
"ref3","5615","5661","93"
"ref1","9139","9200","94"
"ref5","8178","8211","85"
"ref2","7779","7833","85"
"ref3","5833","5943","94"
"ref5","2805","2982","99"
"ref2","7159","7286","96"
"ref5","6699","6747","94"
"ref1","9218","9396","87"
"ref3","7582","7787","81"
"ref5","5042","5062","96"
"ref3","284","431","98"
"ref2","5713","5763","88"
"ref4","6199","6216","87"
"ref3","8646","8811","87"
"ref3","8200","8253","92"
"ref5","6728","7246","91"
"ref5","4239","4268","95"
"ref3","6783","6853","93"
"ref3","1822","1908","96"
"ref2","2576","2805","90"
"ref4","9106","9190","90"
"ref1","7795","7874","92"
"ref4","8585","8627","93"
"ref3","4980","5162","82"
"ref2","5400","5514","99"
"ref4","4347","5198","81"
"ref1","614","676","98"
"ref3","9255","9317","82"
"ref1","439","530","88"
"ref1","48","111","86"
"ref5","8167","8181","95"
"ref5","4100","4246","100"
