"reference","start","end","identity"
"ref3","4044","4285","82"
"ref5","8648","8790","82"
"ref3","1774","2066","96"
"ref4","811","898","81"
"ref5","9186","9338","87"
"ref4","467","567","84"
"ref4","3382","3507","82"
"ref2","2510","2793","91"
"ref2","1615","1996","85"
"ref1","749","946","84"
"ref4","3667","3679","99"
"ref5","3010","3033","81"
"ref2","6769","7019","89"
"ref4","2559","2628","93"
"ref2","3239","3397","85"
"ref5","8086","8157","89"
"ref5","1862","1999","94"
"ref4","1841","2215","86"
"ref5","643","1382","86"
"ref5","4718","4762","86"
"ref4","5360","5405","91"
"ref4","6547","6744","86"
"ref4","6779","6883","97"
"ref3","9702","9942","91"
"ref5","6977","7132","85"
"ref1","6604","6751","81"
"ref1","1719","1748","80"
"ref4","4503","4553","96"
"ref4","2721","2757","91"
"ref5","8785","8834","80"
"ref2","1947","1977","92"
"ref4","7868","8002","92"
"ref5","7980","7988","86"
"ref5","486","536","94"
"ref2","3623","3673","96"
"ref2","18","114","88"
"ref4","6080","6141","95"
"ref1","23","57","85"
"ref1","4735","4763","93"
"ref4","2973","3183","98"
"ref1","8384","8731","81"
"ref2","231","361","96"
"ref5","8245","8283","88"
"ref5","6735","6797","93"
"ref4","2788","2872","90"
"ref3","962","1100","91"
"ref5","5229","5349","99"
"ref2","4522","5268","92"
"ref4","1630","1902","92"
"ref3","2314","2333","86"
"ref1","4093","4362","88"
"ref3","8794","9158","89"
"ref3","6237","6271","98"
"ref4","358","462","80"
"ref5","2095","2123","83"
"ref3","6067","6155","89"
"ref4","5550","5690","81"
"ref3","905","1053","83"
"ref5","4442","4663","90"
"ref5","3009","3179","82"
"ref1","8129","8222","93"
"ref1","2616","2709","94"
"ref3","3627","3893","82"
"ref3","9587","9734","92"
"ref2","1392","1437","89"
"ref5","8029","8111","84"
"ref4","3127","4126","86"
"ref2","19","140","95"
"ref2","7129","7201","90"
"ref2","6383","6430","82"
"ref1","493","599","80"
"ref3","3559","3581","97"
"ref3","6480","6878","81"
"ref4","4215","4228","89"
"ref1","3414","3655","100"
"ref3","2502","2549","95"
"ref2","1538","1601","81"
"ref5","5246","5428","86"
"ref5","1754","1856","96"
"ref2","7899","8063","94"
"ref2","2832","3394","83"
"ref4","2708","2762","86"
"ref3","9071","9166","89"
"ref3","5698","5868","92"
"ref5","2184","2257","99"
"ref4","2343","2521","90"
"ref2","2258","2262","94"
"ref2","9395","9921","99"
"ref3","2023","2077","92"
"ref1","4033","4045","80"
"ref3","7047","7084","89"
"ref3","4377","4715","96"
"ref4","9623","9700","94"
"ref2","3114","3147","87"
"ref2","8574","8694","84"
"ref1","309","439","100"
"ref3","4782","4853","91"
"ref2","2380","2480","83"
"ref1","4144","4454","96"
"ref5","2675","2852","94"
"ref2","5230","5273","83"
"ref1","432","519","83"
"ref3","2441","2669","91"
"ref2","2148","2855","97"
"ref1","1616","1672","83"
"ref2","7884","7949","94"
"ref4","9200","9274","83"
"ref2","2694","2709","91"
"ref2","7095","7506","91"
"ref4","3173","3223","88"
"ref2","9269","9504","83"
"ref2","2766","2811","91"
"ref5","3706","3839","90"
"ref5","9204","9307","88"
"ref1","5135","5258","93"
"ref4","9369","9387","87"
"ref5","6838","7008","89"
"ref5","7185","7315","83"
"ref5","4758","4874","98"
"ref2","5229","5558","98"
"ref1","6675","6696","100"
"ref4","9953","9957","100"
"ref3","3077","3273","95"
"ref4","6209","6258","90"
"ref3","6114","6387","88"
"ref1","9240","9370","92"
"ref5","8866","8993","89"
"ref5","8126","8219","96"
"ref2","414","445","97"
"ref2","3270","3450","83"
"ref5","3229","3256","88"
"ref2","7456","7502","96"
"ref1","1869","2323","87"
"ref3","9044","9097","99"
"ref2","6158","6249","80"
"ref1","5745","5811","95"
"ref3","810","1337","82"
"ref4","6354","6403","89"
"ref2","2672","2694","99"
"ref5","8358","8405","100"
"ref4","1871","2053","99"
"ref3","8030","8142","99"
"ref4","9367","9614","95"
"ref2","9621","9718","97"
"ref4","4909","5006","87"
"ref2","8032","8279","80"
"ref1","5945","6221","97"
"ref1","8438","8518","100"
"ref4","7726","7872","97"
"ref4","4168","4341","85"
"ref3","1751","1801","91"
"ref3","1110","1170","83"
"ref2","5579","5719","94"
"ref1","2368","3367","88"
"ref5","1692","1865","84"
"ref3","3916","4007","81"
"ref1","5971","6081","97"
"ref2","8324","8392","84"
"ref1","1677","1768","95"
"ref5","6429","6801","97"
"ref5","6595","6608","81"
"ref5","152","232","83"
"ref2","6400","6471","83"
"ref2","9715","9808","90"
"ref3","4249","4372","92"
"ref4","2018","2044","93"
"ref3","6313","6402","83"
"ref3","360","413","89"
"ref4","7417","8256","82"
"ref5","1817","2321","97"
"ref3","8528","8595","92"
"ref4","1961","2243","82"
"ref3","68","339","88"
"ref5","8763","8784","80"
"ref2","9254","9431","80"
"ref2","168","189","91"
"ref1","4975","4988","98"
"ref3","6502","6843","80"
"ref5","1860","1868","100"
"ref3","6963","7026","96"
"ref4","9023","9169","96"
"ref3","7568","7609","95"
"ref4","6465","6683","84"
"ref1","4553","4606","90"
"ref5","7965","8009","97"
"ref4","8783","8792","80"
"ref3","5666","5785","98"
"ref2","9769","9853","95"
"ref4","3622","3988","82"
"ref5","1342","1372","81"
"ref4","206","280","97"
"ref4","2620","2752","100"
"ref3","6997","7150","93"
"ref4","9244","9270","82"
"ref3","8026","8108","90"
"ref1","1168","1184","85"
"ref2","2026","2071","88"
"ref1","4806","5094","89"
"ref5","1043","1054","95"
"ref3","4658","5279","86"
"ref4","5205","5255","88"
"ref2","6795","6859","87"
"ref1","7766","7790","89"
"ref3","4723","4774","90"
"ref4","6639","6687","84"
"ref5","1193","1239","98"
"ref3","4836","5009","88"
"ref4","5476","5533","85"
"ref1","5096","5156","84"
"ref1","3062","3503","100"
"ref1","9393","9425","86"
"ref3","7629","7674","97"
"ref2","1999","2050","84"
"ref1","9658","9712","98"
"ref2","3879","3903","82"
"ref4","5648","5730","91"
"ref1","1258","1402","81"
"ref1","417","463","91"
"ref2","6777","6907","100"
"ref3","8590","8686","94"
"ref5","2723","2861","95"
"ref1","8688","8737","87"
"ref3","5445","5559","100"
"ref3","2483","2522","90"
"ref2","38","807","83"
"ref3","9386","9423","93"
"ref4","4469","4580","84"
"ref3","1793","1948","97"
"ref2","6191","6224","83"
"ref1","7156","7443","81"
"ref5","7340","7490","83"
"ref5","4588","4608","86"
"ref5","1498","1514","100"
"ref1","5033","5073","88"
"ref4","3750","3788","81"
"ref1","3943","4103","82"
"ref5","1684","1754","94"
"ref3","4563","4661","92"
"ref4","2178","2267","98"
"ref2","4641","5637","97"
"ref2","5702","5844","86"
"ref1","2878","2904","99"
"ref3","5586","5676","90"
"ref2","9196","9346","91"
"ref3","2638","2667","81"
"ref2","7253","7349","86"
"ref1","8288","8315","81"
"ref5","454","491","82"
"ref2","6647","6948","91"
"ref4","3022","3155","82"
"ref3","4062","4148","99"
"ref1","6734","6821","94"
"ref4","3305","3780","87"
"ref4","2853","2956","87"
"ref4","3789","3896","83"
"ref5","8325","8429","92"
"ref1","6531","6560","93"
"ref3","8529","8665","83"
"ref5","3840","3911","94"
"ref1","7936","8486","84"
"ref1","6439","7182","95"
"ref4","5445","5526","97"
"ref1","8215","8298","83"
"ref2","5896","6646","85"
"ref4","3612","3699","94"
"ref5","4751","4800","89"
"ref4","3646","3710","85"
"ref4","4568","4725","85"
"ref5","5663","6662","85"
"ref4","7","51","94"
"ref3","9004","9042","92"
"ref5","3148","4147","86"
"ref2","8869","8908","80"
"ref2","4437","4551","81"
"ref1","1048","1090","91"
"ref4","645","761","85"
"ref1","5127","5247","87"
"ref2","1645","1801","85"
"ref2","4637","4661","83"
"ref4","5385","5430","99"
"ref2","6543","6695","86"
"ref4","6100","6194","91"
"ref2","209","306","85"
"ref3","5028","5042","100"
"ref5","8219","8257","99"
"ref4","8893","8901","89"
"ref5","3491","3514","82"
"ref4","7644","7738","89"
"ref5","6661","6768","99"
"ref1","4659","4740","83"
"ref2","3433","4234","98"
"ref4","9325","9349","92"
"ref3","8390","8835","82"
"ref5","3533","3745","93"
"ref4","1149","1737","80"
"ref5","937","1112","87"
"ref5","5910","6002","85"
"ref1","6047","6121","92"
"ref4","3504","3530","84"
"ref4","7376","7401","92"
"ref4","8367","8434","86"
"ref4","4540","4605","93"
"ref3","7964","8057","89"
"ref4","5641","6049","92"
"ref4","420","546","83"
"ref5","958","1014","80"
"ref4","5834","5864","89"
"ref1","1085","1105","91"
"ref5","1890","2080","90"
"ref1","5737","5851","90"
"ref2","7354","7501","96"
"ref3","3221","3231","89"
"ref3","2842","2961","87"
"ref4","2411","2483","80"
"ref3","3428","3497","96"
"ref1","6420","6550","84"
"ref1","1682","1789","87"
"ref1","7702","7887","89"
"ref3","7192","7252","85"
"ref4","1624","1724","82"
"ref2","8613","8761","95"
"ref2","7281","7457","98"
"ref1","982","1023","84"
"ref1","2785","2952","96"
"ref4","9128","9209","80"
"ref4","7240","7379","89"
"ref3","3471","3807","91"
"ref3","1946","1987","88"
"ref5","588","689","83"
"ref3","3340","3596","82"
"ref3","5277","5343","90"
"ref1","6168","6334","81"
"ref2","4487","4590","80"
"ref1","9739","9787","89"
"ref5","1980","2265","98"
"ref3","7027","7316","92"
"ref5","8186","8259","87"
"ref2","1288","1420","99"
"ref4","7479","7575","89"
"ref2","5800","5890","97"
"ref2","5945","6019","89"
"ref4","3455","4061","90"
"ref5","8228","8335","86"
"ref3","4985","5048","100"
"ref3","9016","9381","92"
"ref4","1661","1755","99"
"ref4","9281","9294","100"
"ref1","4980","5388","89"
"ref4","9431","9556","91"
"ref5","3458","3519","91"
"ref2","6317","6342","97"
"ref3","7178","7197","85"
"ref1","4887","4939","81"
"ref4","5317","5519","93"
"ref3","6638","6716","89"
"ref3","7552","7570","92"
"ref2","7786","7927","84"
"ref4","562","737","98"
"ref2","3422","3445","100"
"ref2","9516","9526","87"
"ref3","5779","5790","91"
"ref4","506","514","97"
"ref1","6006","6083","96"
"ref4","4199","4235","85"
"ref2","6041","6782","80"
"ref5","9348","9392","81"
"ref4","4095","4122","94"
"ref1","9180","9376","82"
"ref1","8308","8367","96"
"ref3","5954","6081","90"
"ref2","6023","6034","96"
"ref1","3548","3649","96"
"ref4","3548","3820","97"
"ref3","7226","7416","89"
"ref1","8000","8249","94"
"ref5","6395","6409","95"
"ref4","3115","3159","81"
"ref2","9942","9978","85"
"ref4","4242","4257","99"
"ref1","8911","8952","86"
"ref5","2842","2877","88"
"ref3","1069","1166","100"
"ref1","6136","6200","99"
"ref2","2603","2815","86"
"ref3","4617","4763","80"
"ref3","5023","5300","89"
"ref2","1617","1754","89"
"ref5","7001","8000","83"
"ref2","7125","7184","87"
"ref1","6877","7402","91"
"ref2","2848","2887","81"
"ref1","4427","4584","96"
"ref2","9151","9254","99"
"ref2","375","443","100"
"ref4","9756","9854","93"
"ref4","6712","6781","95"
"ref1","5368","5519","81"
"ref4","6780","6840","83"
"ref3","1215","1258","99"
"ref4","7414","7555","94"
"ref4","9104","9187","92"
"ref1","7970","8368","93"
"ref2","925","999","88"
"ref2","3694","4465","84"
"ref3","2859","3044","85"
"ref4","2685","2809","81"
"ref2","6834","6851","100"
"ref5","9503","9545","88"
"ref3","3613","3664","87"
"ref1","3154","3405","81"
"ref1","710","1029","82"
"ref5","9501","9586","99"
"ref3","6207","6432","81"
"ref1","191","199","95"
"ref3","1126","1276","94"
"ref1","1251","1476","96"
"ref3","7464","7560","100"
"ref3","7155","7710","100"
"ref4","3523","3552","91"
"ref1","772","924","85"
"ref5","4999","5119","95"
"ref2","2721","2790","93"
"ref3","1983","2114","81"
"ref5","5008","5043","92"
"ref4","7064","7080","91"
"ref5","5694","5958","93"
"ref3","2929","2943","86"
"ref5","7335","7357","97"
"ref4","1704","1768","85"
"ref3","8474","8509","94"
"ref1","8098","8451","82"
"ref4","5767","5900","80"
"ref1","4991","5297","93"
"ref1","5837","6456","100"
"ref2","3710","4176","94"
"ref4","5819","5858","87"
"ref2","12","62","90"
"ref4","5640","6422","90"
"ref1","5445","6287","97"
"ref2","5265","5343","88"
"ref3","1694","1734","84"
"ref3","2425","2562","86"
"ref1","2581","2661","89"
"ref5","6284","6344","98"
"ref4","4912","4985","95"
"ref2","1481","1612","92"
"ref4","5168","5524","90"
"ref3","6840","6944","85"
"ref2","5560","5575","96"
"ref4","714","863","84"
"ref4","7174","7292","89"
"ref4","9546","9591","84"
"ref5","1557","1794","88"
"ref2","1441","1498","87"
"ref4","1127","1150","100"
"ref2","6436","6485","96"
"ref3","8834","8899","96"
"ref3","8179","8208","81"
"ref4","5263","5273","97"
"ref5","4863","4895","95"
"ref3","7433","7626","86"
"ref3","4053","4122","90"
"ref3","6858","7094","94"
"ref4","2210","2231","96"
"ref5","1294","1380","98"
"ref5","6683","6908","83"
"ref1","7018","7156","83"
"ref5","1049","1159","83"
"ref2","8548","8727","90"
"ref4","2655","2714","94"
"ref3","105","280","100"
"ref5","6287","6310","95"
"ref2","4285","4972","93"
"ref3","7425","7479","83"
"ref4","1456","1713","100"
"ref1","8151","8238","100"
"ref4","7051","7161","93"
"ref2","6504","6572","85"
"ref4","2068","2119","94"
"ref4","9547","9736","94"
"ref4","801","1053","97"
"ref5","428","684","83"
"ref3","6732","6767","90"
"ref5","2150","2282","100"
"ref1","5376","5964","83"
"ref5","1640","1736","93"
"ref3","3451","3473","92"
"ref4","6352","6524","83"
"ref2","782","908","80"
"ref5","8239","8326","86"
"ref1","6272","6297","84"
"ref5","6445","6580","84"
"ref1","1060","1124","88"
"ref5","3199","3223","90"
"ref2","133","293","83"
"ref3","1140","1380","96"
"ref4","7909","8243","81"
"ref4","3797","3860","80"
"ref1","5414","5534","89"
"ref1","5926","5953","86"
"ref3","9122","9172","89"
"ref3","578","627","91"
"ref2","505","684","82"
"ref1","2962","3041","84"
"ref4","8763","8783","93"
"ref3","3046","3364","96"
"ref4","9111","9165","86"
"ref5","7015","7109","96"
"ref1","7464","7516","88"
"ref4","399","419","100"
"ref4","3774","3781","83"
"ref3","8917","9006","97"
"ref4","5656","5780","98"
"ref2","6301","6354","94"
"ref5","2954","2966","85"
"ref2","1723","1949","89"
"ref3","3134","3605","87"
"ref1","9373","9419","80"
"ref2","848","964","93"
"ref2","822","829","96"
"ref3","5434","5488","91"
"ref2","6148","6406","80"
"ref2","8133","8283","86"
"ref3","2482","2555","100"
"ref5","3033","3140","99"
"ref5","1825","1956","100"
"ref4","7299","8298","87"
"ref2","6430","6468","91"
"ref2","8591","8632","86"
"ref1","857","1395","96"
"ref3","6063","6411","99"
"ref4","9518","9690","90"
"ref4","9474","9476","96"
"ref3","2874","3002","88"
"ref5","3761","3891","89"
"ref2","8195","8568","84"
"ref1","3081","3807","83"
"ref2","9593","9644","99"
"ref4","5137","5194","89"
"ref1","5659","5690","94"
"ref4","6589","6645","89"
"ref1","8599","8776","83"
"ref2","3962","4015","85"
"ref5","7047","7135","99"
"ref2","6499","6855","82"
"ref4","1296","1418","84"
"ref2","4170","4180","84"
"ref1","3817","3876","97"
"ref1","3551","3682","99"
"ref3","471","559","86"
"ref4","5875","5915","92"
"ref1","6972","7796","87"
"ref3","6036","6537","84"
"ref2","4386","4432","85"
"ref2","1777","1909","82"
"ref2","9780","9895","93"
"ref3","9307","9366","92"
"ref4","2038","2098","92"
"ref1","6569","6670","86"
"ref3","6362","6466","90"
"ref2","1560","1602","88"
"ref2","4593","5065","85"
"ref2","6486","6652","95"
"ref5","7236","7469","99"
"ref3","474","493","85"
"ref1","3447","3502","81"
"ref4","7324","7360","99"
"ref5","4796","4851","96"
"ref4","8210","8362","90"
"ref3","5398","5511","97"
"ref4","3725","3840","91"
"ref3","7825","8048","86"
"ref5","2418","2682","98"
"ref1","101","181","87"
"ref3","4459","4500","93"
"ref3","686","1278","80"
"ref3","2478","2745","90"
"ref5","5637","5871","100"
"ref4","1898","2013","100"
"ref2","7046","7609","92"
"ref4","404","575","92"
"ref2","1126","1355","97"
"ref1","6746","6876","98"
"ref3","6890","6969","96"
"ref3","405","916","81"
"ref4","4356","4568","94"
"ref1","6315","6358","81"
"ref3","7413","7727","80"
"ref3","672","809","94"
"ref4","9829","9948","90"
"ref4","6486","6877","92"
"ref4","9085","9454","97"
"ref2","6690","7095","89"
"ref2","8220","8538","82"
"ref3","4907","4943","96"
"ref2","7829","7947","90"
"ref4","7074","7431","80"
"ref4","9609","9650","95"
"ref2","1721","1903","94"
"ref4","2005","2973","95"
"ref3","4854","4944","99"
"ref5","7157","7377","84"
"ref2","5694","5819","96"
"ref2","569","667","80"
"ref5","8536","8670","80"
"ref2","9684","9855","99"
"ref1","5559","5679","82"
"ref5","4135","4218","90"
"ref4","4740","4824","90"
"ref3","1131","1285","88"
"ref3","2697","2955","87"
"ref4","7147","7282","96"
"ref4","2409","2562","94"
"ref5","8860","8952","94"
"ref1","1302","1314","90"
"ref4","7020","7149","93"
"ref3","9889","9997","97"
"ref2","7832","8337","90"
"ref5","1641","1679","96"
"ref5","9889","9896","98"
"ref2","6995","7031","94"
"ref4","4203","4258","80"
