"channel","reference","start","end","identity"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","15276","15759","0.9408163265306122"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16528","16971","0.9324618736383442"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8527","8993","0.9556962025316456"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4924","5779","0.9206896551724137"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7786","0.9344608879492601"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8531","8991","0.904862579281184"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7786","0.9002123142250531"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2567","0.8800773694390716"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","920","0.9453441295546559"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11654","12145","0.9375"
"1","KM519951|Boende-Lokolia|DRC|2014","14076","14566","0.9056224899598394"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1260","1762","0.9247104247104247"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7334","7798","0.8835758835758836"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5291","5779","0.924"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10499","10967","0.960167714884696"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8515","8980","0.890295358649789"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","880","1338","0.9463519313304721"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4503","4970","0.9121338912133892"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9747","0.9204081632653062"
"1","KC242793|1Eko|Gabon|1996","434","908","0.8971774193548387"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5289","5779","0.8921001926782274"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12852","13341","0.9203187250996016"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1732","0.9210526315789473"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12470","12927","0.8895966029723992"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","874","1347","0.8431771894093686"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5299","5779","0.8911290322580645"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16971","0.9057377049180327"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8929","9777","0.8966704936854191"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2521","2997","0.9233870967741935"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","440","920","0.9186507936507936"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13327","0.9653767820773931"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2518","2997","0.9526748971193416"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.9287128712871288"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16905","17377","0.9287211740041929"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13332","0.9558232931726908"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","873","1349","0.9061224489795918"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7785","0.8625792811839323"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7776","0.9125799573560768"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17720","18179","0.9443254817987152"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8515","8980","0.9324894514767933"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.9191919191919192"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14557","0.9068825910931174"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16494","16959","0.8863636363636364"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2558","0.9058823529411765"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.8957528957528957"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14096","14566","0.9089026915113871"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16960","0.9156378600823045"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14490","14964","0.9375"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9368","0.8510204081632653"
"1","KC242792|Gabon|Gabon|1994","10491","10951","0.8837209302325582"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","862","1337","0.9175257731958762"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6998","0.9333333333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13664","14155","0.9135559921414538"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.9519038076152304"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15290","15768","0.9288617886178862"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9787","0.9118198874296435"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2508","2997","0.8664047151277013"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5289","5747","0.9230769230769231"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7334","7798","0.8916666666666667"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11665","12142","0.9292929292929293"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16950","0.9144050104384134"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16501","16971","0.9048582995951417"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9368","0.9047619047619048"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.939203354297694"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12132","0.9410569105691057"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7330","7798","0.9229166666666667"
"1","KC242793|1Eko|Gabon|1996","10489","10956","0.9575371549893843"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.9023904382470119"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9254302103250478"
"1","KC242798|1Ikot|Gabon|1996","3707","4153","0.9254385964912281"
