"channel","reference","start","end","identity"
"1","KC242798|1Ikot|Gabon|1996","548","908","0.832"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","447","929","0.9282786885245902"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10489","10967","0.9400826446280992"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","870","1347","0.9336099585062241"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12852","13341","0.9318637274549099"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","860","1349","0.9235412474849095"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16508","16971","0.9495798319327731"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1262","1762","0.925343811394892"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5305","5779","0.8824742268041237"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17714","18175","0.8675213675213675"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7789","0.9348739495798319"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","1275","1762","0.8795180722891566"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4087","4587","0.9068441064638784"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16108","16578","0.9456066945606695"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","990","1349","0.9243243243243243"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7780","0.8187633262260128"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7785","0.859538784067086"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","860","1349","0.9291497975708503"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5289","5769","0.8767967145790554"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2508","2986","0.9398340248962656"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5363","0.9064327485380117"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6543","6922","0.80306905370844"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17720","18180","0.9532908704883227"
"1","KC242792|Gabon|Gabon|1994","3715","4169","0.9211087420042644"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13668","14142","0.9397089397089398"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","879","1347","0.8884297520661157"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.907070707070707"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4084","4541","0.8288659793814434"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4588","0.972972972972973"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10503","10967","0.9142259414225942"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.908203125"
"1","KC242793|1Eko|Gabon|1996","7327","7754","0.7663755458515283"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","1288","1745","0.9036402569593148"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13329","0.9354838709677419"
"1","KC242793|1Eko|Gabon|1996","1251","1752","0.8455743879472694"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6118","6587","0.9389473684210526"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1704","2165","0.9230769230769231"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1724","2166","0.9183222958057395"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9359","0.906054279749478"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16501","16971","0.9149377593360996"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2153","0.88125"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","11891","0.9380165289256198"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10513","10967","0.9310344827586207"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16969","0.9222903885480572"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7323","7784","0.8451882845188284"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16095","16562","0.8902439024390244"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5297","5779","0.9650205761316872"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7787","0.9117647058823529"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7785","0.8924050632911392"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13275","13740","0.8842105263157894"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8515","8993","0.8870967741935484"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7342","7798","0.9229122055674518"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8528","8993","0.9173553719008265"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13327","0.9092741935483871"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10138","10569","0.925"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17714","18182","0.949685534591195"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1349","0.8681541582150102"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5325","0.7607758620689655"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5291","5779","0.8585461689587426"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","18450","18916","0.8469601677148847"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","871","1349","0.9323770491803278"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8523","8993","0.9113924050632911"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16971","0.9253112033195021"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16114","16577","0.899581589958159"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13304","0.9180672268907563"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.939453125"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11660","12145","0.951417004048583"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17714","18177","0.9384288747346072"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4588","0.9485714285714286"
"1","KM519951|Boende-Lokolia|DRC|2014","11651","12133","0.7935222672064778"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1349","0.9349593495934959"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10503","10967","0.9553191489361702"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4335","0.8597785977859779"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9302","9787","0.9334677419354839"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","873","1349","0.9385245901639344"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15692","16156","0.9110169491525424"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9451219512195121"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8515","8973","0.9247311827956989"
"1","KC242793|1Eko|Gabon|1996","10500","10967","0.9395833333333333"
