"channel","reference","start","end","identity"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3300","3791","0.9306930693069307"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12852","13341","0.9158316633266533"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","435","918","0.8967611336032388"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14088","14566","0.9325153374233128"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7784","0.9382978723404255"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.9112903225806451"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14080","14566","0.9090909090909091"
"1","KM519951|Boende-Lokolia|DRC|2014","3694","4156","0.9122055674518201"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9258","0.9299191374663073"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1332","0.9372384937238494"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8523","8993","0.9578059071729957"
"1","KC242798|1Ikot|Gabon|1996","447","922","0.8208661417322834"
"1","KC242800|Ilembe|Gabon|2002","8891","9357","0.8"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3289","3778","0.9247524752475248"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.8969072164948454"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","873","1347","0.8588957055214724"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16259","16543","0.9075342465753424"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16519","16971","0.9044585987261147"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","436","920","0.9533468559837728"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.9244532803180915"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","18434","18607","0.9116022099447514"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.9271255060728745"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15293","15767","0.9214876033057852"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7327","7791","0.8627049180327869"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14086","14566","0.9390243902439024"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7740","8191","0.9625550660792952"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.8828282828282829"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11666","12145","0.8843813387423936"
"1","KC242798|1Ikot|Gabon|1996","3707","4165","0.9483870967741935"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9756","0.9657258064516129"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2064","2571","0.9099616858237548"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11650","12134","0.928"
"1","KC242793|1Eko|Gabon|1996","7323","7798","0.8545454545454545"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1699","2166","0.9329140461215933"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","859","1349","0.8688845401174168"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14556","0.924643584521385"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7785","0.9056603773584906"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8515","8993","0.9369918699186992"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2508","2997","0.896484375"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9708939708939709"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15290","15768","0.950207468879668"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3300","3791","0.9346534653465347"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9085487077534792"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16892","17104","0.9065420560747663"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7328","7788","0.8955223880597015"
"1","KC242798|1Ikot|Gabon|1996","7335","7627","0.8837209302325582"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9089068825910931"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.9285714285714286"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2522","2997","0.9405737704918032"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1349","0.9241803278688525"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9126984126984127"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16111","16578","0.9513742071881607"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7334","7798","0.930379746835443"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3289","3778","0.9254901960784314"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","873","1349","0.9483471074380165"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5293","5779","0.9258517034068137"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5311","0.8480176211453745"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5302","5779","0.896969696969697"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.9354838709677419"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7792","0.9431578947368421"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14553","0.9375"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16504","16971","0.8977035490605428"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5760","0.9426229508196722"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2571","0.9475728155339805"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","435","919","0.9382716049382716"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7784","0.897489539748954"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1702","2166","0.9637526652452025"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5364","0.8641732283464567"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4539","0.9361702127659575"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.937625754527163"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2571","0.8931297709923665"
