"channel","reference","start","end","identity"
"3","KC242784|9_Luebo|DRC|2007","8526","8993","0.9205020920502092"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8515","8980","0.9016736401673641"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5285","5779","0.9343936381709742"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4588","0.8822429906542056"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16114","16568","0.9481641468682506"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4086","4577","0.875"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","859","1333","0.911522633744856"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16957","0.9294605809128631"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12852","13338","0.9288617886178862"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4587","0.9383429672447013"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","449","920","0.94824016563147"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11663","12141","0.8461538461538461"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14131","14558","0.8959276018099548"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5293","5779","0.902834008097166"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","863","1349","0.906930693069307"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","971","1349","0.9216710182767625"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.9008097165991903"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","439","929","0.8921568627450981"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9296","9787","0.9278557114228457"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2076","2580","0.953125"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5281","5779","0.8294573643410853"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12134","0.9094567404426559"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16109","16578","0.893305439330544"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3289","3791","0.9292730844793713"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","433","929","0.9031620553359684"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10502","10967","0.9533898305084746"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5305","0.9101123595505618"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12134","0.9468302658486708"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12840","13341","0.9083820662768031"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1345","0.90748031496063"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8523","8993","0.96"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4490","0.8755868544600939"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","871","1349","0.9300411522633745"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","433","914","0.9096385542168675"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8536","8993","0.8592132505175983"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16502","16971","0.8839103869653768"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","877","1349","0.8428290766208252"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4511","4966","0.896551724137931"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4574","0.8921568627450981"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10521","10963","0.912472647702407"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9268","9785","0.9450757575757576"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11656","12131","0.9385245901639344"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11665","12145","0.9118236472945892"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1337","0.926530612244898"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10489","10935","0.9054945054945055"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11244","11706","0.9142259414225942"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13668","14156","0.8942115768463074"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11665","12145","0.9254658385093167"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11265","11723","0.9244060475161987"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","862","1343","0.878"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5290","5769","0.8633540372670807"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8526","8993","0.9411764705882353"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5290","5772","0.9329268292682927"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10525","10956","0.8082788671023965"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5355","0.9103869653767821"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12145","0.8932038834951457"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9268","9771","0.9320388349514563"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1699","2163","0.920997920997921"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16108","16578","0.8934426229508197"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12131","0.9127789046653144"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13284","13689","0.9192399049881235"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","885","1347","0.8931623931623932"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","6997","0.8323232323232324"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","7008","0.924643584521385"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12846","13329","0.9318637274549099"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13683","14148","0.8958333333333334"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4566","0.9233870967741935"
