"channel","reference","start","end","identity"
"3","KF113528|Kelle_1|DRC|2003","13670","13969","0.8594771241830066"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8526","8986","0.8970588235294118"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5292","5779","0.922"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12143","0.926829268292683"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5287","5779","0.9304174950298211"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10489","10947","0.8874734607218684"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16113","16561","0.8837719298245614"
"3","KC242784|9_Luebo|DRC|2007","8562","8993","0.9334862385321101"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5366","0.9346534653465347"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16490","16967","0.9300411522633745"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12840","13341","0.876953125"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5303","5772","0.9399585921325052"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6537","7008","0.8767967145790554"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8901","9368","0.9390756302521008"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13668","14156","0.8699186991869918"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10490","10967","0.917184265010352"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","862","1337","0.8843813387423936"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6532","7007","0.8842975206611571"
