"channel","reference","start","end","identity"
"1","KM519951|Boende-Lokolia|DRC|2014","7322","7791","0.8985200845665962"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5350","0.9333333333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","860","1337","0.8802395209580839"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14499","14973","0.9420289855072463"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6122","6571","0.8559139784946237"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12145","0.9342629482071713"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16114","16568","0.8974358974358975"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13275","13751","0.9227642276422764"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5355","0.9200819672131147"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10503","10967","0.8514644351464435"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","869","1052","0.8835978835978836"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3294","3778","0.929718875502008"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4498","4970","0.9190871369294605"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12867","13337","0.7995867768595041"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5354","0.8830645161290323"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15294","15768","0.9256198347107438"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2153","0.8791666666666667"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16104","16578","0.9440993788819876"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1764","2166","0.9579207920792079"
"1","KC242792|Gabon|Gabon|1994","14080","14566","0.8280632411067194"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10489","10967","0.9505154639175257"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9367","0.923728813559322"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9368","0.9016736401673641"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3289","3774","0.9264413518886679"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","863","1337","0.9202453987730062"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2518","2997","0.9527720739219713"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13286","13747","0.9123931623931624"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9078156312625251"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8891","9365","0.8966942148760331"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12128","0.9226069246435845"
"1","KC242798|1Ikot|Gabon|1996","3695","4158","0.9094736842105263"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11664","12145","0.9427402862985685"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14179","14566","0.8292682926829268"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13275","13742","0.9203354297693921"
"1","KC242792|Gabon|Gabon|1994","10504","10967","0.9386892177589852"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1347","0.950207468879668"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17725","18191","0.9045643153526971"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","862","1349","0.9574036511156186"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3289","3778","0.9089108910891089"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3694","4153","0.9313304721030042"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4886","5363","0.9338842975206612"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.9403292181069959"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9284","9787","0.92578125"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9775","0.9195402298850575"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14630","14973","0.8743016759776536"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13328","0.9457831325301205"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12468","12942","0.9442148760330579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.8762475049900199"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5299","5779","0.8528225806451613"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13341","0.8444022770398482"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9787","0.8964879852125693"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16948","0.8987341772151899"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16504","16965","0.8944099378881988"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","922","0.9235412474849095"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5717","6192","0.94824016563147"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12851","13341","0.8970873786407767"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16501","16971","0.9395833333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14333","14566","0.9338842975206612"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4082","4569","0.9101796407185628"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9771","0.804739336492891"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8516","8993","0.937888198757764"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15286","15768","0.9451219512195121"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10513","10967","0.9302832244008714"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5346","0.9300411522633745"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12476","12926","0.9162995594713657"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9368","0.9203354297693921"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7776","0.9162995594713657"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16492","16969","0.9124236252545825"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","878","1345","0.9050632911392406"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10521","10964","0.9622222222222222"
