"channel","reference","start","end","identity"
"1","KM519951|Boende-Lokolia|DRC|2014","873","1349","0.9316770186335404"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7329","7788","0.8945147679324894"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1751","0.9178082191780822"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3694","4144","0.8760504201680672"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16913","0.953810623556582"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3304","3791","0.9341317365269461"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12127","0.9085365853658537"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11244","11711","0.9457202505219207"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","873","1343","0.8161157024793388"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9780","0.9196940726577438"
"1","KC242784|9_Luebo|DRC|2007","870","1349","0.8933601609657947"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13668","14127","0.8485477178423236"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9281","9787","0.9610894941634242"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14090","14564","0.8841463414634146"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7786","0.8544698544698545"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6511","6997","0.8796116504854369"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.9164969450101833"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","860","1349","0.9311740890688259"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10111","10572","0.9294871794871795"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14101","14566","0.9026915113871635"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6997","0.9276859504132231"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16971","0.93125"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16957","0.9389473684210526"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9423459244532804"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17714","18178","0.9096638655462185"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3707","4166","0.8926315789473684"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8515","8983","0.9243697478991597"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8894","9354","0.8523908523908524"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1697","2166","0.9254658385093167"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8902","9348","0.9100877192982456"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.9216494845360824"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2524","2997","0.9262295081967213"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8901","9787","0.9458563535911603"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","920","0.9267326732673268"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","444","929","0.899803536345776"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5366","0.946"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.888015717092338"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","876","1333","0.8648068669527897"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7785","0.915948275862069"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7334","7798","0.9018789144050104"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","18450","18921","0.9051546391752577"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","859","1349","0.8976377952755905"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7798","0.9089026915113871"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4872","5350","0.8995901639344263"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","8902","9339","0.862144420131291"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2518","2997","0.9368635437881874"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9211045364891519"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1251","1762","0.9184466019417475"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6524","6974","0.8874458874458875"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8891","9350","0.9263157894736842"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","787","929","0.8601398601398601"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10111","10572","0.9526881720430107"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5351","0.9026369168356998"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5707","6180","0.937888198757764"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5763","0.9018036072144289"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9787","0.917910447761194"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16960","0.9427402862985685"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5289","5779","0.9151873767258383"
"1","KC242784|9_Luebo|DRC|2007","8526","8991","0.9079497907949791"
"1","KF113528|Kelle_1|DRC|2003","7726","7931","0.8392857142857143"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4882","5366","0.9375"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5294","5779","0.8985801217038539"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","458","920","0.8170731707317073"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10503","10965","0.9435146443514645"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10513","10967","0.8468085106382979"
